,geneSymbol,moduleColor,GSsubtype,p.GSsubtype,MM.turquoise,p.MMturquoise,MM.green,p.MMgreen,MM.yellow,p.MMyellow,MM.grey,p.MMgrey,MM.blue,p.MMblue,MM.pink,p.MMpink,MM.red,p.MMred,MM.black,p.MMblack,MM.brown,p.MMbrown
OSCP1,OSCP1,turquoise,0.444406626497078,9.94659594529537e-20,0.608577497424189,1.13844475737752e-39,0.262337953944006,2.28589957230788e-07,-0.478172236512992,5.42122418226609e-23,0.0273850206406646,0.595583816675375,-0.283879163058524,1.94377091553477e-08,0.09995293516839,0.0521690510955313,0.105362546515243,0.040618868451557,-0.0322310202871686,0.532148544869565,-0.0712724396411702,0.166706434965885
MZF1,MZF1,turquoise,0.446066961420992,7.00704568107537e-20,0.594902413573526,1.48856467771039e-37,0.342745349631809,7.37193132981742e-12,-0.413482568479303,4.82631804227697e-17,0.0546571406278301,0.289176761209734,-0.168377387129797,0.00101519452027467,0.42076473336128,1.19052483121007e-17,0.170923345995556,0.000847762181118574,0.032614713318612,0.527275403489074,-0.0562040213658524,0.275724690424966
COX6C,COX6C,turquoise,0.446496259882259,6.39825811948017e-20,0.541506879155901,3.48373762894514e-30,0.119506201580451,0.0201198286628598,-0.180337229595217,0.000425928057447874,-0.103901352226025,0.0435028198952304,-0.325837309752761,8.46835790789413e-11,0.173577046191376,0.000700688699789553,-0.00408138395293129,0.936962073222484,0.0373073369645685,0.469564963242728,-0.248286011121065,1.01868806050987e-06
MIPOL1,MIPOL1,turquoise,0.446681082587264,6.15248315799697e-20,0.509796278253555,2.14239446525505e-26,0.350645086399055,2.23738768173029e-12,-0.295737787155062,4.56221535518037e-09,0.0702213278812134,0.173065580107217,-0.268986660242995,1.09283236155314e-07,0.162669185745015,0.00150697150076363,0.0549735004863398,0.286390403593755,0.00133802738582619,0.979314702878316,-0.0140993417865116,0.784677769723978
SFXN2,SFXN2,turquoise,0.447425026715827,5.25377989409765e-20,0.540062891926312,5.28937648935795e-30,0.326431967183633,7.79120213590747e-11,-0.296084361341935,4.36858207288272e-09,0.102216292050803,0.0470406055863378,-0.217902672218195,1.92042683385858e-05,0.180440194026424,0.000422652385999838,0.0469299576949638,0.36287408009396,0.0238070480665461,0.644515700585482,-0.164872931986092,0.00129573796549475
SYNM,SYNM,turquoise,-0.447691710870942,4.96417738614554e-20,-0.443971816485484,1.08988171773634e-19,-0.0305895131759233,0.553249965076666,0.184362677407692,0.000313978734388794,0.33374928477417,2.75260293887567e-11,0.242753540131099,1.7912020356495e-06,-0.0854191962971042,0.0972628301018858,0.220502931440191,1.51680839978385e-05,-0.00603839283353459,0.906850526351977,0.183223546547629,0.000342498893671046
TM7SF2,TM7SF2,turquoise,0.448044549983239,4.60504840346526e-20,0.450111169278971,2.9610919562027e-20,0.0264674371330368,0.607971327874063,-0.284226919779137,1.8646517235155e-08,-0.311382518025882,6.07641653802721e-10,-0.191169720523615,0.000184757537531756,0.0643322577974058,0.212063054452378,0.13527271261278,0.00845331413198828,0.0833259959355086,0.105772327118373,-0.0403491426310055,0.434098541571024
DBNDD2,DBNDD2,turquoise,0.448997617044755,3.75795751929806e-20,0.498399759340951,3.96579971661386e-25,0.207213913996863,4.91777114015345e-05,-0.31405557798273,4.2542048130265e-10,0.221619456833114,1.36947593968755e-05,-0.200057100998953,8.99054154708414e-05,0.246545957529267,1.21831192225081e-06,0.0595609418409174,0.248013586318276,0.0132459987797759,0.797418101170495,-0.133850876314171,0.00917472940681114
ABCA3,ABCA3,turquoise,0.449354086398898,3.48225744110335e-20,0.576923803361152,6.39402024677676e-35,0.410149422390228,9.05630535616306e-17,-0.307305767615202,1.03947785369533e-09,0.0373720219580086,0.468794524197737,-0.260007548669588,2.94671493216061e-07,0.157108589021275,0.00218786275145872,0.00999132612527883,0.846477303621083,-0.0573301715621947,0.266203059940437,-0.0845682003586299,0.10065419406781
LZTFL1,LZTFL1,turquoise,0.450569349830858,2.68383328088964e-20,0.627762121434668,8.08864453089455e-43,0.495497445072018,8.19548077530438e-25,-0.547435060253506,6.14083746724401e-31,0.148705813406845,0.00375881330997611,-0.176413552511586,0.000569848883682004,0.168659851367738,0.000995218861208789,0.20943903009072,4.05926947125363e-05,-0.038217242737495,0.458791699343109,0.0564505787486392,0.27362050637654
GALNT6,GALNT6,turquoise,0.451063167313832,2.41360419198757e-20,0.476522267901225,7.98236092506113e-23,0.370665707453348,9.35343469914576e-14,-0.246452818111099,1.22999163516177e-06,-0.261532358387067,2.49632016942857e-07,-0.0980321873208315,0.0568789152263415,-0.0068230832351349,0.894811790782662,0.158631599742296,0.00197779250006118,0.0787074401553125,0.126624297658708,0.147703668821125,0.00400232979203345
DNMBP,DNMBP,turquoise,0.451396507102722,2.24652894424271e-20,0.580668568217568,1.86537870858331e-35,0.488032319191786,5.13725538237201e-24,-0.413946155911633,4.41933810875655e-17,-0.0862469393712615,0.0940520407928178,-0.129800906512765,0.0115384374068955,0.145530925754701,0.0045799501514875,0.363621688648824,2.93163874225882e-13,-0.0155114590345601,0.763722187156949,0.150940162302116,0.00326347566202003
EMP2,EMP2,turquoise,0.452700619924955,1.69550863920101e-20,0.448360953054605,4.30483613664874e-20,0.181502172662265,0.000390207310470713,-0.194964204198867,0.000136375245588407,-0.159851065318298,0.00182306811478812,-0.136864349837735,0.00770605807744715,0.147037143965121,0.0041720996446505,0.0740420944559067,0.150789629884797,0.0254158862431897,0.622306323532605,0.0544039983987323,0.291419384398106
CST3,CST3,turquoise,0.4527035199295,1.6944456926952e-20,0.599013406014815,3.52532759700677e-38,0.219641508661441,1.64063752774279e-05,-0.504804775729189,7.79612621292116e-26,-0.0816905243051744,0.112821836775294,0.0103767715517532,0.840632314371622,0.132984203247504,0.00964084890946064,0.316423812463496,3.0927889508406e-10,0.226207448943959,8.94972396484166e-06,0.0230584906208135,0.654959569910369
